a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
the aim of this work was to examine the feasibility of XXXXX as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , particle swarm optimization and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while XXXXX finds the global optimum solution following characteristics of lévy flights	['cuckoo search algorithm', 'cuckoo search']
the aim of this work was to examine the feasibility of XXXXX as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , particle swarm optimization and cuckoo search techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , cuckoo search can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in XXXXX while cuckoo search finds the global optimum solution following characteristics of lévy flights	['cuckoo search algorithm', 'local minima']
the aim of this work was to examine the feasibility of XXXXX as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , particle swarm optimization and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while XXXXX finds the global optimum solution following characteristics of lévy flights	['cuckoo search algorithm', 'cuckoo search']
the aim of this work was to examine the feasibility of cuckoo search algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied XXXXX , XXXXX and cuckoo search techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , cuckoo search can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while cuckoo search finds the global optimum solution following characteristics of lévy flights	['genetic algorithm', 'particle swarm optimization']
the aim of this work was to examine the feasibility of XXXXX algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied XXXXX , particle swarm optimization and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while XXXXX finds the global optimum solution following characteristics of lévy flights	['genetic algorithm', 'cuckoo search']
the aim of this work was to examine the feasibility of cuckoo search algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied XXXXX , particle swarm optimization and cuckoo search techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , cuckoo search can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in XXXXX while cuckoo search finds the global optimum solution following characteristics of lévy flights	['genetic algorithm', 'local minima']
the aim of this work was to examine the feasibility of XXXXX algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied XXXXX , particle swarm optimization and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while XXXXX finds the global optimum solution following characteristics of lévy flights	['genetic algorithm', 'cuckoo search']
the aim of this work was to examine the feasibility of XXXXX algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , XXXXX and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while XXXXX finds the global optimum solution following characteristics of lévy flights	['particle swarm optimization', 'cuckoo search']
the aim of this work was to examine the feasibility of cuckoo search algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , XXXXX and cuckoo search techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , cuckoo search can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in XXXXX while cuckoo search finds the global optimum solution following characteristics of lévy flights	['particle swarm optimization', 'local minima']
the aim of this work was to examine the feasibility of XXXXX algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , XXXXX and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in local minima while XXXXX finds the global optimum solution following characteristics of lévy flights	['particle swarm optimization', 'cuckoo search']
the aim of this work was to examine the feasibility of XXXXX algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , particle swarm optimization and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in XXXXX while XXXXX finds the global optimum solution following characteristics of lévy flights	['cuckoo search', 'local minima']
the aim of this work was to examine the feasibility of XXXXX algorithm as a cryptanalysis tool of classical cryptosystems especially vigenere cipher . we applied genetic algorithm , particle swarm optimization and XXXXX techniques for the analysis of vigenere cipher . after doing lots of experiments we observed that ga and pso techniques can recover the entire key of vigenere cipher correctly for keys of small lengths . however , XXXXX can recover more than 90 % of the key characters for keys of size up to 25 characters because ga and pso get trapped in XXXXX while XXXXX finds the global optimum solution following characteristics of lévy flights	['local minima', 'cuckoo search']
idsfq is presented to provide adaptive control scenario for dynamic XXXXX inside cloud 's XXXXX	['resource provisioning', 'spot market']
a new XXXXX of the protein folding problem in 2d-hp model is proposed for the use of XXXXX	['state space representation', 'reinforcement learning methods']
the proposed XXXXX also provides an actual learning for an agent . thus , at the end of a XXXXX an agent could find the optimum fold of any sequence of a certain length , which is not the case in the existing reinforcement learning methods	['state space representation', 'learning process']
the proposed XXXXX also provides an actual learning for an agent . thus , at the end of a learning process an agent could find the optimum fold of any sequence of a certain length , which is not the case in the existing XXXXX	['state space representation', 'reinforcement learning methods']
the proposed state space representation also provides an actual learning for an agent . thus , at the end of a XXXXX an agent could find the optimum fold of any sequence of a certain length , which is not the case in the existing XXXXX	['learning process', 'reinforcement learning methods']
by using the ant-q algorithm ( an ant based reinforcement learning method ) , optimum fold of a XXXXX is found rapidly when compared to the standard XXXXX	['protein sequence', 'q-learning algorithm']
a simpler approach to XXXXX based on XXXXX is presented with covering based rough sets	['attribute reduction', 'discernibility matrix']
a simpler approach to XXXXX based on discernibility matrix is presented with covering based XXXXX	['attribute reduction', 'rough sets']
a XXXXX to XXXXX based on discernibility matrix is presented with covering based rough sets	['attribute reduction', 'simpler approach']
a simpler approach to attribute reduction based on XXXXX is presented with covering based XXXXX	['discernibility matrix', 'rough sets']
a XXXXX to attribute reduction based on XXXXX is presented with covering based rough sets	['discernibility matrix', 'simpler approach']
a XXXXX to attribute reduction based on discernibility matrix is presented with covering based XXXXX	['rough sets', 'simpler approach']
some important properties of XXXXX with covering based XXXXX are improved	['attribute reduction', 'rough sets']
a new algorithm to XXXXX in XXXXX is presented in a different strategy of identifying objects	['attribute reduction', 'decision tables']
design of three unsupervised XXXXX that satisfying exactly XXXXX	['initial conditions', 'ann models']
a XXXXX based on modified servqual model and XXXXX is used	['hybrid method', 'fuzzy set theory']
improvement in performance by asset utilization , XXXXX and XXXXX in terms of production loss	['energy efficient', 'cost reduction']
a case based reasoning system with an original XXXXX for biomedical XXXXX is proposed	['hidden markov model', 'text classification']
the model of XXXXX with XXXXX and the seasonal mechanism is proposed	['support vector regression', 'adaptive genetic algorithm']
XXXXX ( rl ) is applied to construct the XXXXX	['reinforcement learning', 'probabilistic model']
this paper demonstrates that the recently discovered XXXXX is a better technique for the optimization of large XXXXX	['firefly algorithm', 'wind farms']
it compares the XXXXX with the XXXXX or by the use of spread sheet methods such as finite difference method	['firefly algorithm', 'genetic algorithms']
it compares the XXXXX with the genetic algorithms or by the use of spread sheet methods such as XXXXX	['firefly algorithm', 'finite difference method']
it compares the firefly algorithm with the XXXXX or by the use of spread sheet methods such as XXXXX	['genetic algorithms', 'finite difference method']
this paper demonstrates that the XXXXX outperforms the XXXXX and finite difference method by a wide margin	['firefly algorithm', 'genetic algorithms']
this paper demonstrates that the XXXXX outperforms the genetic algorithms and XXXXX by a wide margin	['firefly algorithm', 'finite difference method']
this paper demonstrates that the firefly algorithm outperforms the XXXXX and XXXXX by a wide margin	['genetic algorithms', 'finite difference method']
the crack growth rate has been calculated by using an XXXXX from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp XXXXX along with load ratio ( r ) , maximum stress intensity factor ( kmax ) and stress intensity factor rage ( δk )	['exponential model', 'model formulation']
the crack growth rate has been calculated by using an XXXXX from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp model formulation along with load ratio ( r ) , maximum XXXXX ( kmax ) and XXXXX rage ( δk )	['exponential model', 'stress intensity factor']
the crack growth rate has been calculated by using an XXXXX from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp model formulation along with load ratio ( r ) , maximum XXXXX ( kmax ) and XXXXX rage ( δk )	['exponential model', 'stress intensity factor']
the XXXXX has been calculated by using an XXXXX from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp model formulation along with load ratio ( r ) , maximum stress intensity factor ( kmax ) and stress intensity factor rage ( δk )	['exponential model', 'crack growth rate']
the crack growth rate has been calculated by using an exponential model from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp XXXXX along with load ratio ( r ) , maximum XXXXX ( kmax ) and XXXXX rage ( δk )	['model formulation', 'stress intensity factor']
the crack growth rate has been calculated by using an exponential model from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp XXXXX along with load ratio ( r ) , maximum XXXXX ( kmax ) and XXXXX rage ( δk )	['model formulation', 'stress intensity factor']
the XXXXX has been calculated by using an exponential model from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp XXXXX along with load ratio ( r ) , maximum stress intensity factor ( kmax ) and stress intensity factor rage ( δk )	['model formulation', 'crack growth rate']
the XXXXX has been calculated by using an exponential model from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp model formulation along with load ratio ( r ) , maximum XXXXX ( kmax ) and XXXXX rage ( δk )	['stress intensity factor', 'crack growth rate']
the XXXXX has been calculated by using an exponential model from experimental crack length ( a ) and number of cycles ( n ) data which has been subsequently used as training data base for gp model formulation along with load ratio ( r ) , maximum XXXXX ( kmax ) and XXXXX rage ( δk )	['stress intensity factor', 'crack growth rate']
the validity of the proposed gp model has been confirmed by comparing the XXXXX by XXXXX and also with previously proposed ann model	['experimental data', 'model prediction']
the validity of the proposed gp model has been confirmed by comparing the model prediction by XXXXX and also with previously proposed XXXXX	['experimental data', 'ann model']
the validity of the proposed gp model has been confirmed by comparing the XXXXX by experimental data and also with previously proposed XXXXX	['model prediction', 'ann model']
nowadays , software designers attempt to employ XXXXX in software design phase , but XXXXX may be not used in the implementation phase . therefore , one of the challenging issues is XXXXX of source code and design , i.e. , XXXXX	['design patterns', 'conformance checking']
nowadays , software designers attempt to employ XXXXX in software design phase , but XXXXX may be not used in the implementation phase . therefore , one of the challenging issues is conformance checking of XXXXX and design , i.e. , XXXXX	['design patterns', 'source code']
nowadays , software designers attempt to employ XXXXX in software design phase , but XXXXX may be not used in the implementation phase . therefore , one of the challenging issues is XXXXX of source code and design , i.e. , XXXXX	['design patterns', 'conformance checking']
nowadays , software designers attempt to employ XXXXX in software design phase , but XXXXX may be not used in the implementation phase . therefore , one of the challenging issues is conformance checking of XXXXX and design , i.e. , XXXXX	['design patterns', 'source code']
nowadays , software designers attempt to employ design patterns in software design phase , but design patterns may be not used in the implementation phase . therefore , one of the challenging issues is XXXXX of XXXXX and design , i.e. , design patterns	['conformance checking', 'source code']
nowadays , software designers attempt to employ XXXXX in software design phase , but XXXXX may be not used in the implementation phase . therefore , one of the challenging issues is XXXXX of source code and design , i.e. , XXXXX	['conformance checking', 'design patterns']
nowadays , software designers attempt to employ XXXXX in software design phase , but XXXXX may be not used in the implementation phase . therefore , one of the challenging issues is conformance checking of XXXXX and design , i.e. , XXXXX	['source code', 'design patterns']
in addition , after developing a system , usually its documents are not maintained , so , identifying XXXXX from XXXXX can help to achieve the design of an existing system as a reverse engineering task	['design pattern', 'source code']
the variant implementations ( i.e. , different XXXXX ) of a design pattern make hard to detect the design pattern instances from the XXXXX . to address this issue , in this paper , we propose a new method which aims to map the design pattern detection problem into a learning problem	['source code', 'source codes']
the variant implementations ( i.e. , different source codes ) of a design pattern make hard to detect the design pattern instances from the XXXXX . to address this issue , in this paper , we propose a new method which aims to map the design pattern XXXXX into a learning problem	['source code', 'detection problem']
the variant implementations ( i.e. , different XXXXX ) of a design pattern make hard to detect the design pattern instances from the source code . to address this issue , in this paper , we propose a new method which aims to map the design pattern XXXXX into a learning problem	['source codes', 'detection problem']
central XXXXX ( cfo ) is deterministic XXXXX	['metaheuristic algorithm', 'force optimization']
XXXXX are applied for predicting the development effort of XXXXX	['neural networks', 'software projects']
XXXXX of XXXXX is compared with that of a statistical regression	['prediction accuracy', 'neural networks']
a XXXXX had a XXXXX with the highest confidence level	['radial basis function neural network', 'prediction accuracy']
a XXXXX had a prediction accuracy with the highest XXXXX	['radial basis function neural network', 'confidence level']
a radial basis function neural network had a XXXXX with the highest XXXXX	['prediction accuracy', 'confidence level']
the XXXXX was based on a genetic algorithm-based XXXXX	['neural fuzzy system', 'software sensor']
fuzzy XXXXX and XXXXX was used to identify the model	['subtractive clustering', 'genetic algorithm']
we introduce the concept of XXXXX in binary spaces.it is proven that utilizing random numbers and their opposite is beneficial in evolutionary algorithms.opposite numbers are applied to accelerate the XXXXX of binary gravitational search algorithm ( bgsa ) .the results show that obgsa possesses superior performance in accuracy as compared to the bgsa	['opposition-based learning', 'convergence rate']
we introduce the concept of XXXXX in binary spaces.it is proven that utilizing random numbers and their opposite is beneficial in evolutionary algorithms.opposite numbers are applied to accelerate the convergence rate of binary XXXXX ( bgsa ) .the results show that obgsa possesses superior performance in accuracy as compared to the bgsa	['opposition-based learning', 'gravitational search algorithm']
we introduce the concept of opposition-based learning in binary spaces.it is proven that utilizing random numbers and their opposite is beneficial in evolutionary algorithms.opposite numbers are applied to accelerate the XXXXX of binary XXXXX ( bgsa ) .the results show that obgsa possesses superior performance in accuracy as compared to the bgsa	['convergence rate', 'gravitational search algorithm']
we reviewed the use of XXXXX on the mdvrp ( multi depot XXXXX )	['genetic algorithms', 'vehicle routing problem']
we compared the XXXXX to other XXXXX on mdvrp based on the results on standard benchmarks	['genetic algorithms', 'metaheuristic algorithms']
XXXXX ( pso ) is used to optimize the XXXXX ( svm )	['particle swarm optimization', 'support vector machine']
the gm ( 1 , n ) model and XXXXX are used for XXXXX , which is capable of simplifying the system prediction model	['fuzzy c-means clustering', 'variable selection']
proposing acor–pso as a two-stage meta-heuristic XXXXX to efficiently find the XXXXX of double-arch concrete dams	['optimization model', 'optimal shape']
reducing the XXXXX of optimization procedure of double-arch dams subject to earthquake loads using XXXXX	['computational time', 'weighted least squares support vector machine']
this paper proposes a new method for speaker XXXXX based on formants , wavelet entropy and XXXXX denoted as fwenn	['feature extraction', 'neural networks']
mapping the XXXXX according to XXXXX	['image histogram', 'rayleigh distribution']
the proposed flow-based XXXXX represents a complete departure from the traditional XXXXX rather than modifies simply the traditional XXXXX	['similarity measure', 'distance measure']
the proposed flow-based XXXXX represents a complete departure from the traditional XXXXX rather than modifies simply the traditional XXXXX	['similarity measure', 'distance measure']
XXXXX performs the following : summarize XXXXX for sfp models	['systematic literature review', 'ml techniques']
assess XXXXX and capability of XXXXX for constructing sfp models	['performance accuracy', 'ml techniques']
provide comparison of XXXXX of different XXXXX	['performance accuracy', 'ml techniques']
we review applications of the XXXXX in the statistical XXXXX	['time series analysis', 'soft computing techniques']
the employed XXXXX and XXXXX provide useful information for forecasting	['data mining', 'classification methods']
to realize the XXXXX of implementing XXXXX planning system	['risk factor', 'enterprise resource']
a new XXXXX based hybrid XXXXX is proposed to further improve the performance of the algorithm	['neighborhood structure', 'mutation strategy']
XXXXX is performed under wide changes in XXXXX and disturbance	['robustness analysis', 'system parameters']
based on the introduced XXXXX , two types of XXXXX are proposed whose consequent parts of the rules are linear and quadratic functions	['membership function', 'ts models']
an XXXXX is suggested to identify the proposed XXXXX	['incremental learning algorithm', 'ts models']
obtained results demonstrate XXXXX and low redundancy of the suggested XXXXX	['high accuracy', 'ts fuzzy models']
nonconvex emission constrained XXXXX ( neced ) is a complex XXXXX	['economic dispatch', 'optimization problem']
the framework can be used in XXXXX , like XXXXX	['engineering applications', 'video surveillance']
combination of XXXXX and entropy method is applied for XXXXX weighting	['fuzzy ahp', 'risk factor']
combination of XXXXX and XXXXX is applied for risk factor weighting	['fuzzy ahp', 'entropy method']
combination of fuzzy ahp and XXXXX is applied for XXXXX weighting	['risk factor', 'entropy method']
fuzzy XXXXX is used to determine the risk priorities of XXXXX	['vikor method', 'failure modes']
this paper also ventures on a new problem on XXXXX compared to previous smaller scale data used in XXXXX of efg in ref . [ 2 ] and text extraction task in refs . [ 1,6 ]	['text classification', 'case study']
we use an improved multiobjective estimation of distribution algorithm ( irm-meda ) to solve the environmental XXXXX of hydrothermal XXXXX	['economic dispatch', 'power systems']
we use an improved multiobjective estimation of XXXXX ( irm-meda ) to solve the environmental XXXXX of hydrothermal power systems	['economic dispatch', 'distribution algorithm']
we use an improved multiobjective estimation of XXXXX ( irm-meda ) to solve the environmental economic dispatch of hydrothermal XXXXX	['power systems', 'distribution algorithm']
the proposed algorithm obtained new optimal solutions and XXXXX for XXXXX	['upper bounds', 'benchmark problems']
a new method of XXXXX of the generalized XXXXX	['similarity measure', 'trapezoidal fuzzy numbers']
combining ga and tmvdr achieve XXXXX and XXXXX	['high accuracy', 'fast convergence']
to our knowledge , it was the first study in identifying the XXXXX with XXXXX	['computer vision', 'butterfly species']
the method is based on XXXXX and XXXXX	['local binary patterns', 'artificial neural network']
a novel XXXXX based on improved culture algorithm for a vehicle 's active suspension was proposed and supported by XXXXX	['control strategy', 'numerical simulation']
a novel XXXXX based on improved XXXXX for a vehicle 's active suspension was proposed and supported by numerical simulation	['control strategy', 'culture algorithm']
a novel control strategy based on improved XXXXX for a vehicle 's active suspension was proposed and supported by XXXXX	['numerical simulation', 'culture algorithm']
by simulation , the perfect control effect is obtained by using fuzzy XXXXX with the optimal XXXXX optimized by improved culture algorithm	['pid control', 'fuzzy rules']
by simulation , the perfect control effect is obtained by using fuzzy XXXXX with the optimal fuzzy rules optimized by improved XXXXX	['pid control', 'culture algorithm']
by simulation , the perfect control effect is obtained by using fuzzy pid control with the optimal XXXXX optimized by improved XXXXX	['fuzzy rules', 'culture algorithm']
proposing a novel framework for evaluating teaching performance based on the combination of XXXXX and fuzzy comprehensive XXXXX	['fuzzy ahp', 'evaluation method']
the output gain of the adaptive XXXXX ( afc ) , it is considerate as a XXXXX	['fuzzy controller', 'fuzzy variable']
the comparative at XXXXX study , shows that the adaptive XXXXX can be enhance the performances the dc voltage control at various operating	['pi controller', 'fuzzy controller']
XXXXX is developed by combining XXXXX ( ga ) , radial basis function neural network ( rbf-nn ) and sugeno fuzzy logic approaches	['integrated model', 'genetic algorithm']
XXXXX is developed by combining genetic algorithm ( ga ) , XXXXX ( rbf-nn ) and sugeno fuzzy logic approaches	['integrated model', 'radial basis function neural network']
XXXXX is developed by combining genetic algorithm ( ga ) , radial basis function neural network ( rbf-nn ) and XXXXX approaches	['integrated model', 'sugeno fuzzy logic']
integrated model is developed by combining XXXXX ( ga ) , XXXXX ( rbf-nn ) and sugeno fuzzy logic approaches	['genetic algorithm', 'radial basis function neural network']
integrated model is developed by combining XXXXX ( ga ) , radial basis function neural network ( rbf-nn ) and XXXXX approaches	['genetic algorithm', 'sugeno fuzzy logic']
integrated model is developed by combining genetic algorithm ( ga ) , XXXXX ( rbf-nn ) and XXXXX approaches	['radial basis function neural network', 'sugeno fuzzy logic']
enhanced pid parameters are used to design sugeno XXXXX tuned by XXXXX ( ke , τe ) of the avr system to improve the system 's response	['fuzzy pid controller', 'excitation parameter']
enhanced pid parameters are used to design sugeno XXXXX tuned by excitation parameter ( ke , τe ) of the XXXXX to improve the system 's response	['fuzzy pid controller', 'avr system']
enhanced pid parameters are used to design sugeno fuzzy pid controller tuned by XXXXX ( ke , τe ) of the XXXXX to improve the system 's response	['excitation parameter', 'avr system']
we proposed a new multiobjective XXXXX based methodology for adaption of neural network structure for XXXXX of satellite imagery	['particle swarm optimization', 'pixel classification']
we define a intuitionistic fuzzy parameterized XXXXX for dealing with uncertainties that is based on both XXXXX and XXXXX	['soft sets', 'intuitionistic fuzzy sets']
we define a intuitionistic fuzzy parameterized XXXXX for dealing with uncertainties that is based on both XXXXX and XXXXX	['soft sets', 'intuitionistic fuzzy sets']
the fuzziness of the XXXXX is analyzed in two different ways such as – triangular and XXXXX	['trapezoidal fuzzy numbers', 'credit period']
reformulation of the involved XXXXX in terms of penalized XXXXX for the pso implementation	['constrained optimization problem', 'unconstrained optimization problem']
we have experimentally validated the optimization capabilities of these schemes and compared them to XXXXX , dynamic mesh optimization , and XXXXX	['particle swarm optimization', 'firefly algorithm']
an XXXXX that segments and classifies four XXXXX	['integrated system', 'moving objects']
automatic XXXXX for aann and XXXXX and extraction methods are developed	['data generation', 'data selection']
automatic XXXXX for aann and data selection and XXXXX are developed	['data generation', 'extraction methods']
automatic data generation for aann and XXXXX and XXXXX are developed	['data selection', 'extraction methods']
an estimation model of XXXXX based on XXXXX	['missing data', 'multilayer perceptron']
an XXXXX of XXXXX based on multilayer perceptron	['missing data', 'estimation model']
an XXXXX of missing data based on XXXXX	['multilayer perceptron', 'estimation model']
combination of XXXXX and k-nearest neighbour-based XXXXX	['neural network', 'multiple imputation']
the optimization of the antecedent parameters for a type 2 XXXXX of XXXXX is presented	['fuzzy system', 'edge detection']
the goal of XXXXX in XXXXX is to provide the ability to handle uncertainty	['interval type-2 fuzzy logic', 'edge detection methods']
results show that the XXXXX provides better results in optimizing the type-2 XXXXX	['cuckoo search', 'fuzzy system']
the main disadvantage of fwnn is that the application domain is limited to static problems due to its feed-forward XXXXX . therefore , we propose to use a self-recurrent XXXXX ( srwnn ) in the consequent part of fwnn , solving the control problem for chaotic systems	['network structure', 'wavelet neural network']
the main disadvantage of fwnn is that the application domain is limited to static problems due to its feed-forward XXXXX . therefore , we propose to use a self-recurrent wavelet neural network ( srwnn ) in the consequent part of fwnn , solving the control problem for XXXXX	['network structure', 'chaotic systems']
the main disadvantage of fwnn is that the application domain is limited to static problems due to its feed-forward network structure . therefore , we propose to use a self-recurrent XXXXX ( srwnn ) in the consequent part of fwnn , solving the control problem for XXXXX	['wavelet neural network', 'chaotic systems']
finding the optimal learning rates is a challenging task in the classic gradient-based XXXXX . hence , in our proposed framework , all of the learning rates are determined optimally based on XXXXX	['learning algorithms', 'lyapunov stability theory']
finding the optimal XXXXX is a challenging task in the classic gradient-based XXXXX . hence , in our proposed framework , all of the XXXXX are determined optimally based on lyapunov stability theory	['learning algorithms', 'learning rates']
finding the optimal XXXXX is a challenging task in the classic gradient-based XXXXX . hence , in our proposed framework , all of the XXXXX are determined optimally based on lyapunov stability theory	['learning algorithms', 'learning rates']
finding the optimal XXXXX is a challenging task in the classic gradient-based learning algorithms . hence , in our proposed framework , all of the XXXXX are determined optimally based on XXXXX	['lyapunov stability theory', 'learning rates']
finding the optimal XXXXX is a challenging task in the classic gradient-based learning algorithms . hence , in our proposed framework , all of the XXXXX are determined optimally based on XXXXX	['lyapunov stability theory', 'learning rates']
the merits of proposed methodology are XXXXX and less XXXXX	['high accuracy', 'execution time']
having the best performance of np-pso in solving various XXXXX compared with some well-known XXXXX	['nonlinear functions', 'pso algorithms']
XXXXX ( rbf ) XXXXX is developed on fpga	['radial basis function', 'neural network']
XXXXX on randomly generated graphs and XXXXX of results	['computational experiments', 'statistical analysis']
the joint statistics and XXXXX of the pdtdfb XXXXX are studied	['mutual information', 'transform coefficients']
the pdtdfb transform coefficients are modeled using a hmt XXXXX with XXXXX	['statistical model', 'gaussian mixtures']
the pdtdfb XXXXX are modeled using a hmt XXXXX with gaussian mixtures	['statistical model', 'transform coefficients']
the pdtdfb XXXXX are modeled using a hmt statistical model with XXXXX	['gaussian mixtures', 'transform coefficients']
interaction of XXXXX with sbst combines XXXXX with experience	['computational power', 'domain experts']
the length of XXXXX of XXXXX could be adjusted adaptively to balance the computing time and solving ability	['scatter search', 'reference set']
the length of reference set of XXXXX could be adjusted adaptively to balance the XXXXX and solving ability	['scatter search', 'computing time']
the length of XXXXX of scatter search could be adjusted adaptively to balance the XXXXX and solving ability	['reference set', 'computing time']
based on karnik-mendel ( km ) algorithm , we propose an XXXXX to XXXXX , and apply it in personnel selection problems for knowledge-intensive enterprise	['analytical solution', 'fuzzy topsis method']
orpd problem is formulated for real XXXXX and XXXXX minimization	['power loss', 'voltage deviation']
soft computing techniques used : ontologies , XXXXX , and a XXXXX	['statistical tests', 'classification algorithm']
XXXXX used : ontologies , XXXXX , and a classification algorithm	['statistical tests', 'soft computing techniques']
XXXXX used : ontologies , statistical tests , and a XXXXX	['classification algorithm', 'soft computing techniques']
the new XXXXX without insignificant components are established through the XXXXX	['regression models', 'stepwise regression']
adaptively computes the XXXXX for XXXXX and restoration purposes	['fuzzy membership functions', 'noise detection']
selection of XXXXX and controller structure is vital for XXXXX	['objective function', 'controller design']
selection of XXXXX and XXXXX is vital for controller design	['objective function', 'controller structure']
selection of objective function and XXXXX is vital for XXXXX	['controller design', 'controller structure']
an XXXXX using itae , XXXXX and settling times is proposed	['objective function', 'damping ratio']
apply XXXXX to dynamic XXXXX	['hopfield neural network', 'parameter estimation']
obtain the initial XXXXX of regular XXXXX	['fuzzy classification', 'feature space']
the objective is to reach standard levels of XXXXX with applying XXXXX of passive filters	['harmonic distortion', 'minimum cost']
publicly available XXXXX were used for a XXXXX	['environmental data', 'comparative study']
seven important XXXXX found to exist in XXXXX 50–300hz . a new method of selecting cwt scales according to the XXXXX found	['fault frequencies', 'frequency range']
seven important XXXXX found to exist in XXXXX 50–300hz . a new method of selecting cwt scales according to the XXXXX found	['frequency range', 'fault frequencies']
the mofca aims to balance the XXXXX over network by wisely adjusting the cluster competition radius according to three XXXXX	['energy consumption', 'input parameters']
the XXXXX is based on XXXXX	['quality evaluation', 'fuzzy classification']
an XXXXX and a heuristic are presented to solve the XXXXX	['integer programming', 'np-hard problem']
proposing a five- tiers XXXXX with flexible XXXXX	['supply chain', 'lead time']
XXXXX is indispensable when dealing with XXXXX	['feature selection', 'microarray data']
combination of pnn , XXXXX and XXXXX	['hierarchical clustering', 'cluster validity index']
multiobjective spatial XXXXX for XXXXX is proposed	['fuzzy clustering', 'image segmentation']
a premise synchronizer has been delicately constructed to ensure the same premises with uniform XXXXX in both XXXXX and fuzzy controller	['time scales', 'fuzzy model']
a premise synchronizer has been delicately constructed to ensure the same premises with uniform XXXXX in both fuzzy model and XXXXX	['time scales', 'fuzzy controller']
a premise synchronizer has been delicately constructed to ensure the same premises with uniform time scales in both XXXXX and XXXXX	['fuzzy model', 'fuzzy controller']
XXXXX are identified by fmea and XXXXX	['critical parameters', 'fuzzy fmea']
